Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level 590): auto_y: 003304BC,  static_y: 00E3B154, dynamicArray: 007A4770, memory usage (1372160), memory increment (  24576)
Addr of local variables (in recursive level 600): auto_y: 0032EAF4,  static_y: 00E3B154, dynamicArray: 007A5940, memory usage (1376256), memory increment (   4096)
Addr of local variables (in recursive level 610): auto_y: 0032D12C,  static_y: 00E3B154, dynamicArray: 007A6B10, memory usage (1384448), memory increment (   8192)
Addr of local variables (in recursive level 620): auto_y: 0032B764,  static_y: 00E3B154, dynamicArray: 007A7CE0, memory usage (1388544), memory increment (   4096)
Addr of local variables (in recursive level 630): auto_y: 00329D9C,  static_y: 00E3B154, dynamicArray: 007A9058, memory usage (1429504), memory increment (  40960)
Addr of local variables (in recursive level 640): auto_y: 003283D4,  static_y: 00E3B154, dynamicArray: 007AA228, memory usage (1437696), memory increment (   8192)
Addr of local variables (in recursive level 650): auto_y: 00326A0C,  static_y: 00E3B154, dynamicArray: 007AB3F8, memory usage (1441792), memory increment (   4096)
Addr of local variables (in recursive level 660): auto_y: 00325044,  static_y: 00E3B154, dynamicArray: 007AC5C8, memory usage (1449984), memory increment (   8192)
Addr of local variables (in recursive level 670): auto_y: 0032367C,  static_y: 00E3B154, dynamicArray: 007AD798, memory usage (1454080), memory increment (   4096)
Addr of local variables (in recursive level 680): auto_y: 00321CB4,  static_y: 00E3B154, dynamicArray: 007AE968, memory usage (1462272), memory increment (   8192)
Addr of local variables (in recursive level 690): auto_y: 003202EC,  static_y: 00E3B154, dynamicArray: 007AFB38, memory usage (1470464), memory increment (   8192)
Addr of local variables (in recursive level 700): auto_y: 0031E924,  static_y: 00E3B154, dynamicArray: 007B0E90, memory usage (1507328), memory increment (  36864)
Addr of local variables (in recursive level 710): auto_y: 0031CF5C,  static_y: 00E3B154, dynamicArray: 007B2060, memory usage (1515520), memory increment (   8192)
Addr of local variables (in recursive level 720): auto_y: 0031B594,  static_y: 00E3B154, dynamicArray: 007B3230, memory usage (1523712), memory increment (   8192)
Addr of local variables (in recursive level 730): auto_y: 00319BCC,  static_y: 00E3B154, dynamicArray: 007B4400, memory usage (1527808), memory increment (   4096)
Addr of local variables (in recursive level 740): auto_y: 00318204,  static_y: 00E3B154, dynamicArray: 007B55D0, memory usage (1536000), memory increment (   8192)
Addr of local variables (in recursive level 750): auto_y: 0031683C,  static_y: 00E3B154, dynamicArray: 007B67A0, memory usage (1540096), memory increment (   4096)
Addr of local variables (in recursive level 760): auto_y: 00314E74,  static_y: 00E3B154, dynamicArray: 007B7970, memory usage (1548288), memory increment (   8192)
Addr of local variables (in recursive level 770): auto_y: 003134AC,  static_y: 00E3B154, dynamicArray: 007B90C8, memory usage (1589248), memory increment (  40960)
Addr of local variables (in recursive level 780): auto_y: 00311AE4,  static_y: 00E3B154, dynamicArray: 007BA298, memory usage (1593344), memory increment (   4096)
Addr of local variables (in recursive level 790): auto_y: 0031011C,  static_y: 00E3B154, dynamicArray: 007BB468, memory usage (1601536), memory increment (   8192)
Addr of local variables (in recursive level 800): auto_y: 0030E754,  static_y: 00E3B154, dynamicArray: 007BC638, memory usage (1605632), memory increment (   4096)
Addr of local variables (in recursive level 810): auto_y: 0030CD8C,  static_y: 00E3B154, dynamicArray: 007BD808, memory usage (1613824), memory increment (   8192)
Addr of local variables (in recursive level 820): auto_y: 0030B3C4,  static_y: 00E3B154, dynamicArray: 007BE9D8, memory usage (1622016), memory increment (   8192)
Addr of local variables (in recursive level 830): auto_y: 003099FC,  static_y: 00E3B154, dynamicArray: 007BFBA8, memory usage (1626112), memory increment (   4096)
Addr of local variables (in recursive level 840): auto_y: 00308034,  static_y: 00E3B154, dynamicArray: 007C0F00, memory usage (1667072), memory increment (  40960)
Addr of local variables (in recursive level 850): auto_y: 0030666C,  static_y: 00E3B154, dynamicArray: 007C20D0, memory usage (1671168), memory increment (   4096)
